"Date: 08/03/2020 22h53"
Fournisseur,Produit,"Par unité",Quantité,Total
"Epicerie Bio Bois-Genoud","Flocon d'avoine fin","0.70 CHF/100g",12.00,8.40
"Epicerie Bio Bois-Genoud","Purée de tomate naturata 400g ","3.10 CHF/Pièce",1.00,3.10
"Epicerie Bio Bois-Genoud","Pâtes (Penne)","0.70 CHF/100g",4.00,2.80
"Epicerie Bio Bois-Genoud","Raisins secs sultan demeter","1.10 CHF/100g",3.00,3.30
"Epicerie Bio Bois-Genoud","Riz Complet","0.60 CHF/100g",6.00,3.60
"Ferme Bio Les Sapins","Oeufs bio","0.90 CHF/pièce",20.00,18.00
"Ferme Bois genoud",Ail,"1.60 CHF/100g",3.00,4.80
"Ferme Bois genoud",Betteraves,"0.35 CHF/100 grammes",6.00,2.10
"Ferme Bois genoud","Betteraves cuites","0.40 CHF/100 grammes",6.00,2.40
"Ferme Bois genoud","Carottes bio","0.30 CHF/100 grammes",32.00,9.60
"Ferme Bois genoud","Chou  blanc","0.50 CHF/100 g",6.00,3.00
"Ferme Bois genoud","Chou frisé","0.40 CHF/100 grammes",1.00,0.40
"Ferme Bois genoud","Chou plume (Kale) ","0.70 CHF/100 grammes",2.00,1.40
"Ferme Bois genoud",Clémentines,"0.40 CHF/100 grammes",7.00,2.95
"Ferme Bois genoud","Courge (A la coupe, tranche de 1 kg)","3.50 CHF/Kg",1.00,3.50
"Ferme Bois genoud","Farine mi-blanche de Blé","5.00 CHF/kg",1.00,5.00
"Ferme Bois genoud",Oignons,"0.40 CHF/100 grammes",18.00,7.55
"Ferme Bois genoud",Orange,"0.35 CHF/100 grammes",27.00,8.90
"Ferme Bois genoud",Poireaux,"0.45 CHF/100 gammes",14.00,6.30
"Ferme Bois genoud","Pomme de terre Desirée (pour tout))","1.20 CHF/500 grammes",7.00,8.40
"Ferme Bois genoud",Pommes,"4.50 CHF/1kg",4.00,18.00
"Ferme Bois genoud",Salade,"1.60 CHF/Pièce",2.00,3.20
"Ferme Bois genoud","Salade Scarole (frisée)","2.20 CHF/Pièce",1.00,2.20
"Ferme de Coinsins","Lentille (rose)","1.30 CHF/100 g",4.00,5.20
"Ferme de Coinsins","Lentille (verte)","1.30 CHF/100 g",5.00,6.50
"Ferme de Coinsins","Lentilles Beluga (noire)","1.30 CHF/100g",1.00,1.30
