"Date: 22/09/2019 22h03"
Fournisseur,Produit,"Par unité",Quantité,Total
"Epicerie Bio Bois-Genoud","Flocon d'avoine fin","0.65 CHF/100g",5.00,3.15
"Epicerie Bio Bois-Genoud","Graine de tournesol","1.60 CHF/100g",4.00,6.40
"Epicerie Bio Bois-Genoud","Raisins secs sultan demeter","0.90 CHF/100g",4.00,3.60
"Epicerie Bio Bois-Genoud","Riz Complet","0.50 CHF/100g",6.00,3.00
"Ferme Bois genoud","Carottes grosses (lavées)","0.30 CHF/100 grammes",6.00,1.80
"Ferme Bois genoud",Courgettes,"0.60 CHF/100 grammes",6.00,3.60
"Ferme Bois genoud","Côtes de Bettes","0.55 CHF/100 grammes",4.00,2.20
"Ferme de Coinsins","Lentille (rose)","1.10 CHF/100 g",4.00,4.40
