"Date: 08/11/2020 23h43"
Fournisseur,Produit,"Par unité",Quantité,Total
"Epicerie Bio Bois-Genoud","gingembre frais","1.50 CHF/100 g.",5.00,7.50
"Ferme Bois genoud",Betteraves,"0.35 CHF/100 grammes",5.00,1.75
"Ferme Bois genoud","Chou  rouge","0.50 CHF/100 grammes",6.00,2.90
"Ferme Bois genoud",Oignons,"0.50 CHF/100 grammes",5.00,2.40
"Ferme Bois genoud","Salade d'été","1.50 CHF/pièce",5.00,7.50
